0	0	0
1	0	3244
2	0	165
3	5	111
4	18	82
5	35	86
6	70	56
7	105	47
8	136	41
9	168	0
10	201	0
11	184	0
12	197	0
13	216	0
14	163	0
15	169	0
16	174	0
17	154	0
18	139	0
19	137	0
20	151	0
21	128	0
22	130	0
23	101	0
24	107	0
25	76	0
26	71	0
27	78	0
28	66	0
29	65	0
30	48	0
31	51	0
32	46	0
33	36	0
34	30	0
35	35	0
36	28	0
37	40	0
38	30	0
39	21	0
40	13	0
41	23	0
42	15	0
43	16	0
44	10	0
45	17	0
46	12	0
47	7	0
48	11	0
49	12	0
50	10	0
51	7	0
52	11	0
53	8	0
54	4	0
55	4	0
56	4	0
57	5	0
58	2	0
59	1	0
60	5	0
61	3	0
62	2	0
63	3	0
64	3	0
65	1	0
66	0	0
67	1	0
68	3	0
69	1	0
70	0	0
71	0	0
72	0	0
73	0	0
74	1	0
75	1	0
76	0	0
77	1	0
78	1	0
79	1	0
80	0	0
81	0	0
82	0	0
83	1	0
84	2	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	1	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
